,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
811,855,1,16,2,6,4,4,2,16,4,12,4,1,2,11,9,8.0,9.0,8,9.0,1,1,1,0,1,0,27,25,0,1,14,,,,1,1,0,0,0,0,0,1,2,8,10,24,10,16,0,26,23
812,856,2,24,2,8,1,7,1,52,4,42,1,3,2,9,10,8.0,11.0,8,0.0,2,2,2,1,0,0,3,28,0,2,2,,,,2,1,0,0,0,0,0,2,1,0,0,0,3,0,3,39,63
813,857,1,24,2,16,2,12,3,16,2,7,1,3,4,9,11,10.0,10.0,11,1.0,2,1,1,0,0,0,26,6,0,0,0,1.0,,,2,2,0,0,0,0,0,1,2,0,3,5,3,5,0,52,35
814,858,2,12,3,2,1,1,3,7,2,2,3,1,2,9,11,8.0,9.0,8,9.0,2,2,2,0,0,0,5,25,0,0,0,,,,2,2,0,0,0,0,1,2,1,5,3,5,4,0,1,15,10
815,859,1,16,2,6,2,3,4,52,1,16,1,7,4,10,9,8.0,1.0,8,1.0,2,2,2,1,0,0,28,22,2,1,1,,,,2,2,0,0,0,0,1,2,1,5,4,6,5,1,1,25,65
816,860,2,7,4,6,3,4,4,24,3,8,1,6,1,9,10,8.0,1.0,8,1.0,2,2,2,1,0,0,27,23,2,1,1,,,,2,2,0,0,0,0,1,2,1,6,5,7,6,1,1,17,36
817,861,1,16,4,16,1,7,1,8,1,3,3,2,1,9,11,8.0,1.0,8,1.0,2,2,2,0,0,0,22,31,0,0,0,,,,2,2,0,0,0,0,1,2,1,7,6,7,7,0,1,39,26
818,862,2,8,4,6,3,2,2,52,3,16,1,2,1,9,10,8.0,1.0,8,1.0,2,2,2,2,0,0,25,26,0,2,2,,,,2,2,0,0,0,0,1,2,1,7,7,7,10,0,3,16,60
819,863,1,40,2,16,1,8,1,52,3,16,1,4,3,9,10,8.0,11.0,8,0.0,2,2,2,0,0,0,7,23,0,0,0,,,,2,2,0,0,0,0,0,2,2,7,10,7,12,0,2,64,72
820,864,2,16,4,8,3,1,2,16,4,7,3,6,1,10,10,11.0,1.0,8,1.0,1,1,1,0,0,0,22,2,0,0,0,,,,0,0,0,0,0,0,0,1,1,7,12,8,12,1,0,25,30
821,865,1,6,3,4,3,4,2,16,4,12,2,7,2,9,9,8.0,1.0,8,1.0,2,2,2,1,0,0,27,23,0,0,0,2.0,,,2,2,0,0,0,0,1,2,1,8,12,8,16,0,4,14,27
822,866,2,52,1,16,3,1,4,8,3,4,3,3,4,10,11,11.0,1.0,8,1.0,1,1,1,2,0,0,26,33,1,2,1,,,,0,0,0,0,0,0,0,1,1,8,16,9,17,1,1,69,27
823,867,1,16,2,8,4,4,3,6,3,4,2,1,4,10,9,11.0,9.0,8,9.0,1,1,1,0,0,0,7,7,0,0,0,,,,0,0,0,0,0,0,0,1,1,9,17,10,17,1,0,28,15
824,868,2,24,4,16,3,2,2,24,1,12,3,1,2,9,9,10.0,11.0,11,10.0,1,2,1,0,0,0,5,25,0,0,0,,,,2,1,1,3,0,0,0,1,3,10,17,13,17,3,0,42,41
825,869,1,6,1,3,1,2,4,16,4,4,3,3,3,9,9,8.0,1.0,8,1.0,2,2,2,0,0,0,25,28,0,0,0,,,,2,2,0,0,0,0,1,2,1,13,17,13,18,0,1,11,22
826,870,2,24,2,8,2,2,3,6,1,3,3,2,4,10,11,11.0,1.0,8,1.0,1,1,1,2,0,0,28,26,0,1,2,,,,0,0,0,0,0,0,0,1,1,13,18,16,18,3,0,34,16
827,871,1,42,1,3,1,1,2,24,2,16,2,12,2,11,9,10.0,10.0,8,1.0,1,2,2,1,0,0,31,26,0,0,0,2.0,,,1,2,2,3,0,0,1,2,2,16,18,16,23,0,5,46,39
828,872,1,16,2,2,1,2,4,4,3,3,3,3,1,9,9,8.0,1.0,8,1.0,2,2,2,0,0,0,5,7,0,0,0,,,,2,2,0,0,0,0,1,2,1,0,0,0,1,0,1,20,9
829,873,2,12,3,7,1,7,2,16,4,6,3,3,3,9,11,9.0,10.0,11,9.0,2,1,1,2,0,0,1,28,0,2,2,,,,2,2,0,0,0,0,0,1,2,0,1,2,3,2,2,26,26
830,874,1,52,1,6,4,3,2,16,1,7,4,4,3,9,9,11.0,11.0,10,10.0,2,1,2,1,0,0,21,7,2,1,1,,,,1,2,0,0,0,0,0,2,2,2,3,3,5,1,2,61,26
831,875,2,24,3,6,2,2,1,50,3,8,4,1,3,10,9,11.0,11.0,9,10.0,1,2,2,0,0,0,23,4,0,0,0,,,,0,0,0,0,0,0,0,2,1,0,2,0,3,0,1,32,57
832,876,1,7,4,6,3,1,1,12,1,8,2,2,1,9,9,11.0,10.0,8,,2,2,2,2,0,0,4,25,1,2,1,,,,0,0,0,0,0,0,0,2,1,0,3,0,5,0,2,14,20
833,877,2,50,4,40,2,12,3,8,2,7,2,6,3,8,9,8.0,1.0,8,1.0,2,2,2,2,0,0,28,20,1,2,1,,,,1,1,0,0,0,0,0,2,2,0,5,0,8,0,3,102,54
