,id,hand_player,opponent_high_card,opponent_high_card_suit,opponent_medium_card,opponent_medium_card_suit,opponent_low_card,opponent_low_card_suit,self_high_card,self_high_card_suit,self_medium_card,self_medium_card_suit,self_low_card,self_low_card_suit,opponent_round_0,self_round_0,opponent_round_1,self_round_1,opponent_round_2,self_round_2,round_1_winner,round_2_winner,round_3_winner,who_asked_envido,who_asked_falta_envido,who_asked_real_envido,opponent_points_envido,self_points_envido,who_refused_envido,who_won_envido,balance_envido,who_asked_flor,who_asked_contra_flor,who_asked_contra_flor_resto,who_asked_truco,when_asked_truco,who_asked_retruco,when_asked_retruco,who_asked_vale_quatro,when_asked_vale_quatro,who_refused_truco,who_won_truco,balance_truco,opponent_old_points,self_old_points,opponent_new_points,self_new_points,opponent_hand_balance,self_hand_balance,opponent_hand_quality,self_hand_quality
2890,3068,1,24,3,24,3,7,2,16,2,7,2,4,3,10,9,9.0,11.0,10,10.0,1,2,1,0,0,0,23,22,0,0,0,,,,0,0,0,0,0,0,0,1,1,18,18,19,18,1,0,55,44
2893,3071,2,24,1,24,1,7,1,52,2,16,1,8,3,9,9,10.0,10.0,10,11.0,2,1,2,0,0,0,23,23,0,0,0,,,,2,2,0,0,0,0,0,2,2,20,20,20,22,0,2,55,84
2898,3076,2,8,3,7,2,2,3,24,3,2,4,1,2,9,9,11.0,11.0,10,10.0,1,2,1,2,0,0,20,5,1,2,1,,,,0,0,0,0,0,0,0,1,1,8,5,9,6,1,1,17,32
2900,3078,2,6,4,3,4,2,1,40,3,7,2,4,3,11,9,10.0,10.0,9,11.0,1,2,2,0,0,0,25,7,0,0,0,,,,2,2,1,2,0,0,0,2,3,9,11,9,14,0,3,11,47
2911,3089,1,52,1,8,2,1,3,16,1,12,4,2,4,9,9,11.0,10.0,10,11.0,2,1,2,0,0,0,21,27,0,0,0,,,,2,3,0,0,0,0,0,2,2,18,22,18,24,0,2,61,26
2913,3092,2,50,4,24,4,24,3,42,1,16,1,8,4,9,9,9.0,11.0,11,10.0,1,2,1,0,0,0,24,7,0,0,0,,,,1,1,0,0,0,0,0,1,2,1,1,3,1,2,0,98,74
2919,3098,2,24,1,16,2,3,3,24,2,8,3,3,3,10,9,9.0,10.0,11,11.0,1,2,0,0,0,0,28,29,0,0,0,2.0,,,1,3,0,0,0,0,0,1,2,11,8,13,11,2,3,43,43
2920,3099,1,16,2,16,3,12,4,24,4,2,1,1,2,10,11,9.0,9.0,10,9.0,2,1,1,0,0,0,2,5,0,0,0,,,,0,0,0,0,0,0,0,1,1,13,11,14,11,1,0,44,41
2928,3107,1,42,1,7,3,1,4,40,1,4,2,2,3,9,9,10.0,10.0,11,11.0,2,1,1,2,0,0,27,7,0,1,2,,,,2,1,0,0,0,0,0,1,2,21,14,24,14,3,0,50,49
2936,3116,1,24,2,24,2,3,3,40,4,12,2,6,2,10,9,9.0,10.0,10,11.0,1,2,2,1,0,0,29,27,0,1,2,,,,2,3,0,0,0,0,0,2,2,9,7,11,9,2,2,51,70
2939,3119,2,50,4,16,3,7,2,24,1,24,3,2,3,9,10,10.0,9.0,11,10.0,2,1,1,2,0,0,2,28,1,2,1,,,,1,2,0,0,0,0,0,1,2,11,11,13,12,2,1,73,42
2941,3121,2,42,1,6,3,6,3,24,4,7,1,2,3,9,11,11.0,10.0,9,9.0,2,1,1,0,0,0,7,25,0,0,0,,,,2,3,0,0,0,0,0,1,2,14,13,16,13,2,0,54,32
2946,3127,1,24,2,12,1,8,3,16,2,8,2,6,1,11,9,10.0,11.0,9,10.0,1,2,0,0,0,0,24,2,0,0,0,,,,1,3,0,0,0,0,0,1,2,1,0,3,0,2,0,44,34
2961,3142,1,16,3,8,1,1,1,40,2,24,2,2,4,11,10,10.0,9.0,9,11.0,2,1,2,2,0,0,4,7,1,2,1,,,,0,0,0,0,0,0,0,2,1,21,19,21,21,0,2,25,50
2962,3143,2,24,4,1,3,1,2,6,2,3,1,1,4,11,11,9.0,10.0,9,9.0,1,2,0,0,1,0,4,6,2,1,1,,,,0,0,0,0,0,0,0,1,1,21,21,23,21,2,0,26,8
2963,3144,1,8,1,7,4,1,4,12,1,8,2,6,2,11,11,10.0,9.0,9,10.0,2,1,2,0,0,0,20,21,0,0,0,,,,0,0,0,0,0,0,0,2,1,23,21,23,22,0,1,16,25
